Category,Item,Source/Location,Quantity,Units (oz),Quanity,Units (kg),Cost,$/oz,$/kg,g CO2,kg Co2/kg,kg Co2/oz,kg Co2/$,kg CO2 Emissions per item,Description,Source
Grains,,,,,,,,,,,,,,,,
https://www.eia.gov/environment/emissions/co2_vol_mass.php,Oatmeal,,42,oz,1.191,kg,$4.69,$0.11,$3.94,,,0.000,0,0,Quaker Oats,Environmental Working Group: Meat Eaters Guide
,Bread,,20,oz,0.567,kg,$4.99,$0.25,$8.80,,,0.000,0,0,Franz Organic Sourdough,Environmental Working Group: Meat Eaters Guide
,Cereal,,18,oz,0.510,kg,$6.49,$0.36,$12.72,,,0.000,0,0,Honey Nut Cheerios,Environmental Working Group: Meat Eaters Guide
,Pasta,,16,oz,0.454,kg,$1.99,$0.12,$4.39,,,0.000,0,0,Barilla Penne,Environmental Working Group: Meat Eaters Guide
,White Rice,,14,oz,0.397,kg,$2.44,$0.17,$6.15,,2.64,0.075,0.4294251002,1.047797244,Minute White Rice,Environmental Working Group: Meat Eaters Guide
,Brown Rice,,,,,,,,,,2.43,,,,,Environmental Working Group: Meat Eaters Guide
,Rice ,average ,,,,,,,,,2.7,,,,,
,Potatoes,meat eaters guide,16,oz,0.454,kg,$1.49,$0.09,$3.28,,2.9,0.082,0.8828298349,1.315416454,"Yellow Gold Potatoes, Safeway",Environmental Working Group: Meat Eaters Guide
,Potatoes,"locally grown, uncooked",,,0.200,,,,,56,,,,,,
,,"locally grown, boiled gently",,,0.200,,,,,106,,,,,,
,,"travelled from Idaho to New York, boiled gently",,,0.200,,,,,240,,,,,,
,,"travelled from Idaho to New York, boiled vigorously lid off",,,0.200,,,,,350,,,,,,
,Flour Tortillas,,20,oz,0.567,kg,$3.49,$0.17,$6.16,,,0.000,0,0,Mission Burrtio Tortillas 10 ct,Environmental Working Group: Meat Eaters Guide
Meat,,,,,,,,,,,,,,,,Environmental Working Group: Meat Eaters Guide
,Salmon,Farmed,16,oz,0.454,kg,$10.99,$0.69,$24.23,,11.89,0.337,0.4907377126,5.393207462,Fresh Atlantic Salmon,Environmental Working Group: Meat Eaters Guide
,Beef,,16,oz,0.454,kg,$10.99,$0.69,$24.23,,27,0.765,1.114374957,12.24698078,NY Boneless Steak,Environmental Working Group: Meat Eaters Guide
,Chicken,,16,oz,0.454,kg,$6.49,$0.41,$14.31,,6.9,0.196,0.4822471459,3.129783977,Chicken breast Boneless Skinless,Environmental Working Group: Meat Eaters Guide
,Pork,,16,oz,0.454,kg,$4.58,$0.29,$10.10,,12.1,0.343,1.198354095,5.488461757,,Environmental Working Group: Meat Eaters Guide
,Turkey,,16,oz,0.454,kg,$1.99,$0.12,$4.39,,10.9,0.309,2.484498241,4.9441515,,Environmental Working Group: Meat Eaters Guide
,Tuna,Canned,12,oz,0.340,kg,$3.89,$0.32,$11.43,,6.1,0.173,0.5334660294,2.075182854,,Environmental Working Group: Meat Eaters Guide
